A_Nml,1,0.85,1.45,1.3,1.15,1.75,0.7,1.6,0.55,1,1.3,1.15,1.6,0.55,1.45,1.75,0.85,0.7,1.6,1.45,1.75,1,0.7,1.3,1.15,0.85,0.55, 
,TRUE, True, True, True, True, True, False, True, False, True, False, True, True, False, True, True, True, False, True, True, True, True, False, True, True, True, False, 
LowRes,1,1.3,0.55,1.45,1.6,0.85,1.75,0.7,1.15,1.3,0.55,0.7,1.6,1.75,0.85,1.15,1,1.45,0.55,1.3,1.6,1.45,1.75,1,1.15,0.7,0.85, 
,TRUE, True, False, True, True, False, True, False, True, True, False, False, True, True, False, True, True, True, False, True, True, True, True, True, True, False, False, 
thin,1.75,1.6,0.7,1.3,0.85,1.45,1.15,0.55,1,1.15,1.6,0.55,0.85,0.7,1.45,1.75,1.3,1,1,1.6,0.85,1.75,0.55,1.15,0.7,1.45,1.3, 
,TRUE, True, False, True, True, True, True, False, True, True, True, False, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, 
thick,0.7,1.75,1.15,1,1.45,1.6,1.3,0.85,0.55,0.55,1.6,1.45,1.15,1,0.7,1.75,1.3,0.85,0.55,0.7,1.15,1.45,1,1.3,0.85,1.6,1.75, 
,FALSE, True, True, True, True, True, True, False, False, False, True, True, True, True, False, True, True, False, False, False, True, True, True, True, False, True, True, 
B_Nml,0.85,1.15,1.3,1.6,1.75,1,1.45,0.55,0.7,0.7,0.85,1.45,1.6,1,1.75,1.3,1.15,0.55,1.6,1.3,1.15,0.7,0.55,0.85,1,1.45,1.75, 
,FALSE, True, True, True, True, False, True, False, False, False, True, True, True, True, True, True, True, False, True, True, True, False, False, False, True, True, True, 
LowRes,1.45,1.3,0.85,1,0.55,1.15,0.7,1.75,1.6,1.45,1.15,0.7,1.75,1.6,0.85,1.3,0.55,1,1,1.45,0.85,1.15,0.7,0.55,1.3,1.6,1.75, 
,TRUE, True, False, True, False, True, False, True, True, True, True, False, True, True, False, True, False, True, True, True, False, True, False, False, True, True, True, 
thin,1,1.6,1.45,0.55,1.15,0.7,1.75,1.3,0.85,0.7,1.45,1.15,1.6,1.3,0.55,1.75,0.85,1,0.85,1.15,1,1.6,1.45,0.55,0.7,1.75,1.3, 
,TRUE, True, True, False, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, 
thick,1.3,0.85,0.55,1.75,1,1.6,1.15,0.7,1.45,0.7,1.15,1.45,1.3,1,1.75,0.85,0.55,1.6,1.6,0.55,1.15,0.85,1.45,1,0.7,1.3,1.75, 
,TRUE, False, False, True, False, True, True, False, False, False, True, True, True, True, True, False, False, True, True, False, True, False, True, True, False, True, True, 
C_Nml,1.45,0.7,1.75,0.85,1,1.6,1.3,1.15,0.55,1,0.85,1.15,1.45,0.55,1.6,1.75,1.3,0.7,1.15,1.45,0.85,1.6,1.3,0.7,1.75,1,0.55, 
,TRUE, False, True, True, True, True, True, True, False, True, True, True, True, False, True, True, True, False, True, True, True, True, True, False, True, True, True, 
LowRes,0.55,1.75,0.7,0.85,1.6,1,1.15,1.3,1.45,1,0.7,1.45,0.55,1.75,1.15,1.6,1.3,0.85,1.45,1.3,1.15,1.75,0.7,0.55,0.85,1,1.6, 
,FALSE, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, False, False, True, True, False, 
thin,1.15,0.55,1.45,1.3,0.85,1.75,1.6,1,0.7,0.85,1.3,1.15,1,0.7,1.75,1.45,1.6,0.55,0.55,1,1.6,1.75,1.3,1.15,0.7,0.85,1.45, 
,TRUE, False, True, True, True, True, True, True, False, True, True, True, True, False, True, True, True, False, False, True, True, True, True, True, True, True, True, 
thick,1.45,1.6,0.55,1.15,1,0.7,1.3,0.85,1.75,1.3,0.7,1.75,1.15,0.55,0.85,1,1.6,1.45,1,0.85,1.15,1.75,1.6,0.55,1.3,1.45,0.7, 
,TRUE, True, False, True, False, False, True, False, True, True, False, True, True, False, False, False, True, True, False, False, True, True, True, False, True, True, True, 
D_Nml,1.3,1.75,1.6,0.55,1.15,0.85,0.7,1,1.45,1.6,0.7,1.3,1.75,0.55,0.85,1.45,1,1.15,1.6,0.85,1.3,1,1.15,1.75,1.45,0.7,0.55, 
,TRUE, True, True, False, False, False, False, True, True, True, False, True, True, False, False, True, False, True, True, False, True, True, True, True, True, False, False, 
LowRes,0.85,1.45,1,1.6,1.75,1.3,0.55,0.7,1.15,0.55,0.7,0.85,1.6,1.3,1.45,1.15,1,1.75,1.3,0.55,1.15,0.7,0.85,1.45,1.6,1,1.75, 
,FALSE, True, False, True, True, True, False, False, True, False, False, False, True, True, True, True, False, True, True, False, True, False, False, True, True, False, False, 
thin,1.3,1.15,0.7,1.6,0.85,1.75,1.45,1,0.55,0.55,1.75,1,1.3,0.7,1.15,0.85,1.45,1.6,0.55,0.85,1.75,1,0.7,1.15,1.6,1.45,1.3, 
,TRUE, True, False, True, False, True, True, True, False, False, True, False, True, False, True, True, True, True, False, False, True, False, False, True, True, True, True, 
thick,0.85,0.55,1.15,1.75,1.3,1,0.7,1.6,1.45,0.55,0.7,1.3,1,1.6,1.75,1.45,1.15,0.85,1.3,0.55,0.85,1.6,0.7,1.45,1,1.15,1.75, 
,FALSE, False, True, True, True, True, False, True, True, False, False, True, True, True, True, True, True, False, True, False, False, True, False, True, False, True, True, 
E_Nml,1.15,0.85,1.3,0.7,1.75,1,0.55,1.45,1.6,1,1.45,0.85,1.15,1.6,1.75,1.3,0.7,0.55,1,0.7,0.85,1.45,1.75,1.15,1.3,1.6,0.55, 
,TRUE, True, True, False, True, True, False, True, True, True, True, False, True, True, True, True, False, False, True, False, True, True, True, True, True, True, True, 
LowRes,1.3,1.6,0.7,1.75,1.15,0.55,1,1.45,0.85,1,0.7,1.3,1.45,0.85,1.15,1.75,0.55,1.6,0.85,1,1.3,1.75,0.7,1.15,0.55,1.45,1.6, 
,TRUE, True, False, True, True, False, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, False, True, False, True, False, 
thin,1.15,0.7,1,1.6,0.85,0.55,1.75,1.3,1.45,1.75,1.45,0.7,0.85,1.6,0.55,1,1.3,1.15,1.15,1.75,1.45,1.3,1.6,0.7,1,0.85,0.55, 
,TRUE, False, True, True, True, False, True, True, True, True, True, False, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, 
thick,0.7,1.15,1.3,0.55,1.45,1.75,1.6,0.85,1,0.7,1.3,0.85,1.15,1.45,1,0.55,1.75,1.6,1.75,1.6,0.85,1,0.55,1.45,1.15,0.7,1.3, 
,FALSE, True, True, False, True, True, True, False, True, False, True, False, True, True, False, False, True, True, True, True, False, False, False, True, True, False, False, 
F_Nml,1,1.45,1.6,1.75,0.7,1.15,0.85,1.3,0.55,0.85,1,0.7,0.55,1.15,1.75,1.45,1.3,1.6,1,0.7,0.85,1.15,1.6,1.45,1.3,0.55,1.75, 
,FALSE, True, True, True, False, True, True, True, False, True, True, False, False, True, True, True, True, True, True, False, True, True, True, True, True, False, True, 
LowRes,1.75,1,1.45,1.15,1.3,0.85,0.55,1.6,0.7,1.75,0.55,1.45,1.6,0.7,0.85,1.3,1,1.15,1.15,1,1.75,0.7,0.55,1.45,1.3,0.85,1.6, 
,TRUE, False, True, True, True, False, False, True, False, True, False, True, True, False, True, True, True, True, True, True, True, False, False, True, True, True, True, 
thin,1.3,0.85,1.15,0.55,1.75,1.6,1,1.45,0.7,0.7,1.15,1.75,1.3,1.6,0.55,0.85,1.45,1,1,0.55,1.3,0.85,1.15,0.7,1.6,1.45,1.75, 
,TRUE, True, True, False, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, False, True, True, True, False, True, True, True, 
thick,1.45,1.15,1,0.85,0.55,1.3,1.6,0.7,1.75,0.55,1.6,1.15,0.85,1.75,1.3,1,0.7,1.45,1.75,1.6,1.45,0.55,1,1.15,0.7,0.85,1.3, 
,TRUE, False, False, False, False, True, True, False, True, False, True, True, False, True, True, False, False, True, True, True, True, False, False, False, False, False, True, 
G_Nml,1,0.85,1.45,1.75,1.3,1.6,0.55,1.15,0.7,0.55,1,0.85,1.6,1.3,0.7,1.75,1.45,1.15,1.6,1.3,0.85,0.7,1,0.55,1.45,1.75,1.15, 
,FALSE, False, True, True, True, True, False, False, False, False, False, False, True, True, False, True, True, False, True, True, False, False, False, False, True, True, True, 
LowRes,1.45,1.3,0.7,1.75,0.85,1.6,1,1.15,0.55,1,1.6,0.55,1.3,1.45,0.7,1.15,1.75,0.85,1.15,1.45,1.6,0.7,1,0.55,1.75,1.3,0.85, 
,TRUE, True, False, True, False, True, False, False, False, False, True, False, True, True, False, False, True, False, False, True, True, False, False, False, True, True, True, 
thin,0.55,1.6,1.3,0.85,0.7,1.45,1,1.15,1.75,1,1.75,1.3,1.15,0.85,1.45,0.55,1.6,0.7,0.55,1.3,1,0.85,1.75,0.7,1.45,1.15,1.6, 
,FALSE, True, True, False, False, True, False, True, True, False, True, True, True, False, True, False, True, False, False, True, False, False, True, False, True, True, False, 
thick,1.6,0.7,0.85,1,1.15,1.75,0.55,1.3,1.45,1,1.6,0.85,0.7,1.75,1.3,0.55,1.45,1.15,0.7,1.3,1.45,0.85,1,1.15,1.75,1.6,0.55, 
,TRUE, False, False, False, False, True, False, True, True, False, True, False, False, True, True, False, True, True, False, True, True, False, False, True, True, True, True, 
H_Nml,1,0.85,1.45,1.3,1.15,1.75,0.7,1.6,0.55,1,1.3,1.15,1.6,0.55,1.45,1.75,0.85,0.7,1.6,1.45,1.75,1,0.7,1.3,1.15,0.85,0.55, 
,TRUE, True, True, True, True, True, False, True, False, True, True, True, True, False, True, True, True, False, True, True, True, True, False, True, True, True, False, 
LowRes,1,1.3,0.55,1.45,1.6,0.85,1.75,0.7,1.15,1.3,0.55,0.7,1.6,1.75,0.85,1.15,1,1.45,0.55,1.3,1.6,1.45,1.75,1,1.15,0.7,0.85, 
,TRUE, True, False, True, True, False, True, False, True, True, False, False, True, True, False, True, True, True, False, True, True, True, True, True, True, False, False, 
thin,1.75,1.6,0.7,1.3,0.85,1.45,1.15,0.55,1,1.15,1.6,0.55,0.85,0.7,1.45,1.75,1.3,1,1,1.6,0.85,1.75,0.55,1.15,0.7,1.45,1.3, 
,TRUE, True, False, True, True, True, True, False, True, True, True, False, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, 
thick,0.7,1.75,1.15,1,1.45,1.6,1.3,0.85,0.55,0.55,1.6,1.45,1.15,1,0.7,1.75,1.3,0.85,0.55,0.7,1.15,1.45,1,1.3,0.85,1.6,1.75, 
,FALSE, True, True, True, True, True, True, False, False, False, True, True, True, True, False, True, True, False, False, False, True, True, True, True, False, True, True,
